"source","target","value"
"Pori","Aura",1
"Pori","Espoo",7
"Pori","Eura",2
"Pori","Eurajoki",10
"Pori","Harjavalta",8
"Pori","Helsinki",30
"Pori","Huittinen",2
"Pori","Hämeenlinna",1
"Pori","Ilmajoki",1
"Pori","Isojoki",1
"Pori","Jyväskylä",4
"Pori","Kaarina",1
"Pori","Kankaanpää",4
"Pori","Kauhajoki",1
"Pori","Kauhava",1
"Pori","Kauniainen",2
"Pori","Kirkkonummi",2
"Pori","Kokemäki",2
"Pori","Kouvola",1
"Pori","Kristiinankaupunki",1
"Pori","Kuopio",3
"Pori","Kurikka",2
"Pori","Kustavi",1
"Pori","Kärkölä",1
"Pori","Lahti",3
"Pori","Laitila",1
"Pori","Lempäälä",1
"Pori","Lieto",2
"Pori","Loimaa",1
"Pori","Masku",1
"Pori","Merijärvi",4
"Pori","Merikarvia",4
"Pori","Mikkeli",1
"Pori","Nakkila",8
"Pori","Nokia",2
"Pori","Nurmijärvi",5
"Pori","Närpiö",1
"Pori","Oulu",7
"Pori","Paimio",1
"Pori","Parkano",1
"Pori","Pirkkala",1
"Pori","Porvoo",2
"Pori","Rauma",6
"Pori","Salo",1
"Pori","Savonlinna",1
"Pori","Seinäjoki",2
"Pori","Sodankylä",1
"Pori","Säkylä",2
"Pori","Taipalsaari",1
"Pori","Tampere",29
"Pori","Turku",15
"Pori","Tuusula",3
"Pori","Ulvila",23
"Pori","Uusikaupunki",1
"Pori","Vaasa",1
"Pori","Vantaa",7
"Pori","Ylöjärvi",1
"Espoo","Pori",6
"Eura","Pori",5
"Eurajoki","Pori",8
"Harjavalta","Pori",3
"Hattula","Pori",1
"Helsinki","Pori",15
"Huittinen","Pori",1
"Hyvinkää","Pori",2
"Hämeenlinna","Pori",2
"Iisalmi","Pori",3
"Ikaalinen","Pori",2
"Inari","Pori",1
"Janakkala","Pori",1
"Joensuu","Pori",1
"Jyväskylä","Pori",9
"Kankaanpää","Pori",3
"Kaskinen","Pori",1
"Kauhajoki","Pori",1
"Kauhava","Pori",1
"Kemiönsaari","Pori",1
"Kiuruvesi","Pori",1
"Kokemäki","Pori",1
"Kotka","Pori",3
"Kristiinankaupunki","Pori",1
"Kurikka","Pori",1
"Kuusamo","Pori",1
"Laitila","Pori",1
"Lappeenranta","Pori",2
"Lieto","Pori",1
"Loimaa","Pori",1
"Loppi","Pori",1
"Merikarvia","Pori",4
"Mikkeli","Pori",1
"Mynämäki","Pori",1
"Nakkila","Pori",11
"Nokia","Pori",7
"Oulu","Pori",2
"Outokumpu","Pori",1
"Parkano","Pori",2
"Pirkkala","Pori",3
"Pomarkku","Pori",6
"Pöytyä","Pori",1
"Raahe","Pori",1
"Raisio","Pori",5
"Rauma","Pori",14
"Riihimäki","Pori",3
"Ruovesi","Pori",1
"Salo","Pori",3
"Sastamala","Pori",3
"Seinäjoki","Pori",2
"Siikainen","Pori",1
"Somero","Pori",1
"Säkylä","Pori",6
"Taivassalo","Pori",1
"Tampere","Pori",18
"Turku","Pori",11
"Ulvila","Pori",41
"Vaasa","Pori",1
"Vantaa","Pori",5
"Vehmaa","Pori",1
"Ypäjä","Pori",4
